delay,freq,condition,textbox.text,,
0.4,1000,exp,222,Average of expected variable ,455.5774648
0.7,1000,exp,555,Average of unexpected variable ,386.4583333
0.1,1000,exp,111,the difference ,69.11913146
0.4,1000,exp,555,,
0.7,1000,exp,777,,
0.1,1000,exp,111,,
0.4,1000,exp,333,,
0.7,1000,exp,444,,
0.1,1000,exp,222,,
0.1,1000,exp,444,,
0.7,1000,exp,111,,
0.7,1000,exp,111,,
0.1,1000,exp,444,,
0.4,1000,exp,333,,
0.4,1000,exp,222,,
0.7,1000,exp,444,,
0.4,1000,exp,555,,
0.1,1000,exp,23,,
0.1,1000,exp,12,,
0.7,1000,exp,25,,
0.4,1000,exp,34,,
0.4,1000,exp,34,,
0.1,1000,exp,45,,
0.1,1000,exp,6,,
0.7,1000,exp,999,,
0.4,1000,exp,999,,
0.7,1000,exp,999,,
0.7,1000,exp,555,,
0.7,1000,exp,444,,
0.1,1000,exp,333,,
0.7,1000,exp,333,,
0.1,1000,exp,333,,
0.4,1000,exp,333,,
0.4,1000,exp,666,,
0.4,1000,exp,333,,
0.1,1000,exp,888,,
0.7,1000,exp,56,,
0.1,1000,exp,34,,
0.4,1000,exp,666,,
0.1,1000,exp,777,,
0.4,1000,exp,555,,
0.7,1000,exp,666,,
0.1,1000,exp,555,,
0.7,1000,exp,555,,
0.4,1000,exp,666,,
0.7,1000,exp,444,,
0.1,1000,exp,333,,
0.7,1000,exp,777,,
0.4,1000,exp,888,,
0.7,1000,exp,999,,
0.4,1000,exp,666,,
0.1,1000,exp,888,,
0.1,1000,exp,666,,
0.4,1000,exp,888,,
0.7,1000,exp,45,,
0.1,1000,exp,67,,
0.4,1000,exp,67,,
0.7,1000,exp,69,,
0.4,1000,exp,98,,
0.4,1000,exp,888,,
0.7,1000,exp,666,,
0.1,1000,exp,,,
0.1,1000,exp,666,,
0.7,1000,exp,666,,
0.4,1000,exp,567,,
0.1,1000,exp,678,,
0.1,1000,exp,567,,
0.4,1000,exp,678,,
0.7,1000,exp,456,,
0.4,1000,exp,456,,
0.7,1000,exp,567,,
0.1,1000,exp,678,,
0.1,400,unexp,333,,
0.4,400,unexp,333,,
0.7,400,unexp,444,,
0.1,400,unexp,333,,
0.7,400,unexp,23,,
0.4,400,unexp,444,,
0.7,400,unexp,222,,
0.4,400,unexp,45,,
0.1,400,unexp,34,,
0.1,400,unexp,444,,
0.7,400,unexp,666,,
0.4,400,unexp,666,,
0.7,400,unexp,444,,
0.1,400,unexp,555,,
0.4,400,unexp,333,,
0.4,400,unexp,666,,
0.7,400,unexp,777,,
0.1,400,unexp,23,,
0.4,400,unexp,45,,
0.1,400,unexp,78,,
0.7,400,unexp,555,,
0.1,400,unexp,678,,
0.7,400,unexp,456,,
0.4,400,unexp,678,,
